primary_category,avg_versions,n_papers
math.GM,2.622047244094488,127
stat.CO,2.4516129032258065,31
math.KT,2.284313725490196,102
q-fin.PM,2.269230769230769,26
math.AT,2.131818181818182,220
math.AC,2.1315789473684212,228
math.SG,1.9779411764705883,136
physics.gen-ph,1.9763440860215054,465
math.HO,1.9565217391304348,69
hep-th,1.9241470685657502,3019
math.AG,1.8890052356020943,955
math.GT,1.8235294117647058,442
math.QA,1.8095238095238095,294
math.OA,1.796,250
gr-qc,1.7892215568862275,1670
math.RT,1.7835294117647058,425
cs.CC,1.7741935483870968,93
math.DG,1.7714646464646464,792
cs.DS,1.75,112
math.NT,1.7380607814761215,691
math.GR,1.7237762237762237,286
cs.CG,1.7222222222222223,54
math.CO,1.7053206002728514,733
cs.NE,1.704225352112676,71
hep-ph,1.7037037037037037,3591
math.CT,1.7037037037037037,81
math.MG,1.672,125
physics.ao-ph,1.6666666666666667,42
quant-ph,1.6489040060468632,2646
math.PR,1.645811240721103,943
math.DS,1.6389548693586697,421
math.LO,1.6305732484076434,157
nlin.SI,1.6136363636363635,176
math.CV,1.6118881118881119,286
physics.data-an,1.6,130
cs.LO,1.6,120
q-bio.PE,1.5947712418300655,153
cs.DM,1.588235294117647,119
q-fin.PR,1.5714285714285714,35
math-ph,1.5711556829035338,1047
math.SP,1.5510204081632653,147
cs.DL,1.55,20
math.RA,1.5471014492753623,276
cs.CE,1.5365853658536586,41
cond-mat.mes-hall,1.5298804780876494,1506
cs.CR,1.5232558139534884,86
math.FA,1.5229357798165137,327
cond-mat.str-el,1.5189591078066915,1345
math.NA,1.5163398692810457,153
cond-mat.dis-nn,1.5129533678756477,386
cs.DB,1.5106382978723405,47
cond-mat.stat-mech,1.5073051948051948,1232
q-bio.OT,1.5,30
math.ST,1.4941176470588236,340
math.AP,1.4910858995137763,617
cond-mat.other,1.4805352798053528,822
cond-mat.supr-con,1.4693627450980393,816
math.CA,1.4653179190751444,346
hep-ex,1.464332036316472,771
nucl-th,1.4625,960
stat.ML,1.4583333333333333,24
nlin.CD,1.4488188976377954,254
hep-lat,1.4483362521891419,571
math.OC,1.440251572327044,159
cs.GT,1.434782608695652,46
q-bio.NC,1.4305555555555556,72
nlin.AO,1.4285714285714286,56
cs.LG,1.4285714285714286,49
stat.ME,1.4232804232804233,189
physics.atom-ph,1.4218289085545723,339
physics.flu-dyn,1.4140969162995596,227
physics.plasm-ph,1.4085365853658536,164
physics.soc-ph,1.4076655052264808,287
physics.acc-ph,1.3968253968253967,63
q-fin.GN,1.392156862745098,51
cs.IT,1.3912280701754387,570
physics.class-ph,1.3865030674846626,163
nlin.PS,1.3834586466165413,133
cs.IR,1.3793103448275863,29
q-fin.TR,1.3703703703703705,27
physics.comp-ph,1.368421052631579,95
cs.AI,1.368421052631579,95
cond-mat.soft,1.3602739726027397,730
q-bio.CB,1.36,25
q-bio.QM,1.3541666666666667,96
math.GN,1.3541666666666667,48
astro-ph,1.352417164584465,9205
physics.ed-ph,1.3333333333333333,54
physics.optics,1.3319057815845825,467
q-bio.SC,1.3214285714285714,28
nucl-ex,1.3211009174311927,436
physics.geo-ph,1.3146067415730338,89
physics.chem-ph,1.2971014492753623,138
cond-mat.mtrl-sci,1.295275590551181,1524
q-bio.MN,1.2911392405063291,79
q-fin.ST,1.2891566265060241,83
physics.bio-ph,1.2857142857142858,140
cs.NI,1.28099173553719,121
q-bio.BM,1.28,100
q-bio.GN,1.2790697674418605,43
cs.CL,1.2765957446808511,47
cs.DC,1.2666666666666666,75
physics.ins-det,1.2616279069767442,172
physics.pop-ph,1.2413793103448276,29
cs.PL,1.24,50
physics.hist-ph,1.2372881355932204,59
stat.AP,1.2127659574468086,94
cs.CV,1.1714285714285715,35
physics.atm-clus,1.170731707317073,41
physics.med-ph,1.163265306122449,49
cs.SE,1.135135135135135,37
cs.CY,1.131578947368421,38
cs.HC,1.1296296296296295,54
nlin.CG,1.125,24
cs.OH,1.0884955752212389,113
cs.AR,1.0555555555555556,126
cs.RO,1.0116279069767442,86
