cat_a,cat_b,pair_count
math-ph,math.MP,2166
gr-qc,hep-th,1190
astro-ph,gr-qc,956
hep-ph,hep-th,938
astro-ph,hep-th,797
astro-ph,hep-ph,747
cs.IT,math.IT,680
hep-ph,nucl-th,495
math.ST,stat.TH,495
hep-th,math-ph,449
hep-th,math.MP,449
cond-mat.str-el,cond-mat.supr-con,409
gr-qc,hep-ph,387
cond-mat.soft,cond-mat.stat-mech,381
hep-ex,hep-ph,376
cond-mat.mtrl-sci,cond-mat.str-el,314
cond-mat.mes-hall,cond-mat.str-el,274
cond-mat.mes-hall,cond-mat.mtrl-sci,271
cond-mat.dis-nn,cond-mat.stat-mech,251
hep-th,quant-ph,249
hep-lat,hep-ph,238
math-ph,quant-ph,213
math.MP,quant-ph,213
nucl-ex,nucl-th,200
cond-mat.mtrl-sci,cond-mat.other,190
hep-lat,hep-th,179
math.AG,math.NT,175
math-ph,math.AP,174
math.AP,math.MP,174
cond-mat.other,quant-ph,168
math.AP,math.DG,152
cond-mat.mes-hall,quant-ph,151
cond-mat.mes-hall,cond-mat.supr-con,150
math-ph,math.PR,145
math.AC,math.AG,145
math.MP,math.PR,145
math-ph,nlin.SI,142
math.MP,nlin.SI,142
cond-mat.mtrl-sci,cond-mat.soft,140
hep-ph,nucl-ex,138
cond-mat.stat-mech,math-ph,137
cond-mat.stat-mech,math.MP,137
cond-mat.stat-mech,quant-ph,134
cond-mat.stat-mech,hep-th,133
math-ph,math.DG,131
math.DG,math.MP,131
cond-mat.stat-mech,cond-mat.str-el,128
gr-qc,math-ph,127
gr-qc,math.MP,127
cond-mat.mtrl-sci,cond-mat.stat-mech,121
astro-ph,nucl-th,120
math.QA,math.RT,116
physics.data-an,physics.soc-ph,113
math-ph,math.QA,109
math.MP,math.QA,109
math.PR,math.ST,109
math.PR,stat.TH,109
cond-mat.other,cond-mat.stat-mech,101
math.CO,math.NT,101
math-ph,math.SP,100
math.MP,math.SP,100
hep-th,math.QA,96
gr-qc,quant-ph,95
hep-th,nucl-th,94
math.AG,math.RT,93
math.FA,math.OA,92
math.CO,math.PR,91
math.RA,math.RT,91
math.GR,math.GT,89
cond-mat.dis-nn,cond-mat.mes-hall,87
math.AG,math.CV,81
math.AG,math.CO,80
math.CO,math.RT,79
cond-mat.str-el,quant-ph,77
hep-lat,nucl-th,77
cond-mat.mes-hall,cond-mat.other,76
cond-mat.dis-nn,cond-mat.mtrl-sci,75
hep-ex,nucl-th,75
hep-th,nlin.SI,72
hep-th,math.DG,71
math.AT,math.GT,70
cond-mat.stat-mech,physics.soc-ph,67
physics.soc-ph,q-fin.ST,67
hep-ex,nucl-ex,66
math.CV,math.DG,65
math.ST,stat.ME,65
stat.ME,stat.TH,65
astro-ph,hep-ex,63
cs.DM,math.CO,61
math-ph,math.DS,61
math.DS,math.MP,61
math.QA,math.RA,60
cond-mat.mtrl-sci,cond-mat.supr-con,59
hep-th,math.AG,59
math-ph,math.RT,58
math.MP,math.RT,58
cond-mat.other,cond-mat.str-el,57
cond-mat.str-el,hep-th,57
math.AC,math.CO,57
math.DG,math.SG,56
math.AG,math.AT,55
math.AG,math.DG,55
math.DG,math.GT,55
cond-mat.dis-nn,cond-mat.soft,53
cond-mat.mes-hall,cond-mat.stat-mech,53
math.GR,math.RT,53
physics.atom-ph,quant-ph,53
cond-mat.other,hep-th,52
physics.atom-ph,physics.optics,52
gr-qc,math.DG,51
math.DS,math.NT,51
math-ph,math.CO,50
math.CA,math.FA,50
math.CO,math.MP,50
math.GT,math.SG,50
physics.atom-ph,physics.chem-ph,50
physics.class-ph,physics.gen-ph,49
math.AG,math.QA,48
math.OC,math.PR,48
math.AP,math.FA,47
cond-mat.dis-nn,cond-mat.str-el,46
cond-mat.mes-hall,hep-th,46
cond-mat.stat-mech,nlin.CD,46
physics.soc-ph,q-fin.GN,46
astro-ph,physics.plasm-ph,45
math.CO,math.GR,45
physics.optics,quant-ph,44
cond-mat.other,cond-mat.supr-con,43
math-ph,math.CA,43
math.AP,math.PR,43
math.CA,math.MP,43
cs.DM,cs.DS,42
math.AG,math.SG,42
math.CV,math.DS,42
stat.AP,stat.ME,42
cond-mat.stat-mech,physics.bio-ph,41
cond-mat.other,cond-mat.soft,40
cond-mat.soft,physics.bio-ph,40
cond-mat.stat-mech,cond-mat.supr-con,40
physics.gen-ph,physics.optics,40
astro-ph,nucl-ex,39
cs.CC,cs.DM,39
math.AG,math.GT,39
math.AT,math.KT,39
cond-mat.stat-mech,math.PR,38
cs.IT,math.PR,38
math.CO,math.MG,38
math.CV,math.FA,38
math.DS,math.PR,38
math.IT,math.PR,38
math.NT,math.RT,38
physics.bio-ph,physics.chem-ph,38
math-ph,math.AG,37
math.AG,math.MP,37
math.AP,math.CA,37
math.AP,math.CV,37
astro-ph,physics.space-ph,36
cond-mat.dis-nn,physics.soc-ph,36
math.AP,math.SP,36
cond-mat.soft,q-bio.BM,35
hep-th,math.RT,35
math-ph,math.FA,35
math-ph,math.SG,35
math.CO,math.RA,35
math.DG,math.DS,35
math.FA,math.MP,35
math.FA,math.PR,35
math.GT,math.QA,35
math.KT,math.OA,35
math.MP,math.SG,35
physics.chem-ph,physics.comp-ph,35
hep-ph,quant-ph,34
math.CA,math.DS,34
math.CO,math.GT,34
physics.comp-ph,physics.soc-ph,34
cond-mat.other,math-ph,33
cond-mat.other,math.MP,33
cond-mat.stat-mech,hep-lat,33
cs.AI,cs.NE,33
math.GR,math.RA,33
nlin.CD,physics.flu-dyn,33
nlin.CD,quant-ph,33
physics.class-ph,physics.optics,33
math.AC,math.RA,32
math.AG,math.RA,32
math.AP,math.DS,32
math.AP,math.NA,32
math.AT,math.CT,32
math.FA,math.SP,32
physics.data-an,q-fin.ST,32
cond-mat.dis-nn,cond-mat.other,31
cond-mat.other,physics.optics,31
cs.CC,cs.DS,31
math.AG,math.KT,31
math.DG,math.MG,31
q-bio.MN,q-bio.QM,31
cond-mat.stat-mech,q-bio.PE,30
cond-mat.supr-con,quant-ph,30
hep-ph,math-ph,30
hep-ph,math.MP,30
